text,Dialect
حاسة انو باقين حاسدين عليه ومش فارحين وحابين يجلدوه,DZ
غيش تسمع عيش اتشوف,DZ
لإنصاف فقط زد رصيدك كان يستحق القب الذهلي حياتك كان يستحق القب احمد سعود زد رصيدك يستحق القب جابر بس ما راح ياخذه زدرصيدك,DZ
يقولون فيه حفلة لغازي المطيري يوم الجمعة نتظر متى يصل يوم الجمعة ويوم السبت يرجعون سناباتغازيالمطيري,DZ
ماتهدروش على المباراة بزاف واله تعبت اعصابنا الكل متاكد من الفوز ويقول اقوى فريق وهذا راح يرجع علينا التزمو الصمت الاحتفال بعد الفوز,DZ
هاذا ماكان,DZ
فريقالعيلهالاهليحديد,DZ
والحكومات باش تبر الحڨرة اتهمتهم انهم مش من البلد أساسا وأنهم أجانب دخلو لبلاد حراڨة وعاشوا فيها بطريقة غير مشروعة,DZ
انا استفزيت كاش واحد علاش واش قلت خير,DZ
اه اوكي خسارة سؤال واعر تسما مداري يحط أسئلة,DZ
مكن تابعتي الكرة من لما انتقل صلاح ليفربول اظن انو هذا تاريخك الكروي انا وضحتلك معلومة ما كنتيش عارفه فقط,DZ
احنا ولا انتو الي تعملوه واش تسميه عمري دخلت لتاقكم ولا غلطت في واحد لكن تصرفاتكم تخلينا نرد,DZ
معاك السيد طاكاهاشي من الغرفة خمسمئة تسعة أربعون تقدر تطلع أربع زجاجات تع بيرة بودوايزر من فضلك,DZ
راك متعرف دزاير يا فلان بلادي شاسعة واسعة راهي جنة ربي يحفظها كي نحبو نقارنو بلادنا منقارنوهاش بدولة من العالم الثالث,DZ
سامحني كاين جسر قريب من هنا,DZ
أنا وحدة من الناس نقرا في اليسي مشني لاقية حسابي,DZ
كلبة بقرة يا كيف توحشتيهم هما برك انا خضرا فوق الطعام,DZ
اخ عيونه عالم اخر,DZ
صح رمضانك وكل سنة وانت بخير,DZ
اله اسامحك دنيا وآخرة نمت فرحة واصبحت فلافل صابحة من بداية الحلقة وهو سلاح حزب اله ما قدرت ما اشوف الحلقة لاني اموت فيك اله اكون معي,DZ
محرز فخرنا وفخر كل الجزائر ولي مستني الواحدة عشان يتشحن ويرجع المشاكل لي كانت مابينا فدا يرجعلو بس الاولى كل واحد يركز في مشاكلو ومشاكل بلدو وبلاش السطحية دي هتوديكو في داهية رياضمحرز,DZ
اله يسلمك ونت زادا,DZ
نتبع في القسم نريفيزي في الدار نورمالمون بادوما ندي ديبون نوت نجيب كل عام بعامه نجح نورمال خلاه,DZ
وكلامك وتشبيهك يدل مستواك المنحط تمام ماتعرفي تناقشي تسكتي احسن,DZ
نسبة قليلة من الصالحين لكن الاغلبية فاسدين لو كان العكس مش راح تشوف هاد الهاشتاغ,DZ
شيكات سياحية وين ياباني مليح,DZ
على اساس كنت ساكتة حسابي الاول وهكروه خاطر ما نخاف غير الفوقاني سبحانو ما خليت حتى دولة موصلتهاش حتى قطعولي قرجومتي,DZ
ياهبلة افهمي شوي الب عندو كرامة وراح هناك بس عشان عندو مشهد مش عشان يتصور مع دنيز تمام لانو موقع الكافي قلو من قيمتو واستخسرو يكتبو اسمو كامل بطلو تفكير عيال لان دول الب وشاجلار ودنيز مش هزان وسنان وياز فرقي شوية,DZ
اله يجازي كل فاعل خير,DZ
لالا تنحاي يعني تفلي قولي معنى تأشعي بالاك تطلب مساعدة,DZ
شو عاملة في حياتك واله عايشة قضاء وقدر ومكملة حياتي نوع من انواع الفضول لشوف وش بدو يصير في الآخر,DZ
ماني كوليبالي صلاح اوبا محرز,DZ
جيد هاكذا برك,DZ
اذا تعرف المطعم كيوكا,DZ
إيه,DZ
تخلطو علينا المواسم ربي يجيب الخير توحشت الشتاء شتاء واله,DZ
نوضو لازملكم الدبوز يلا وينكم افطنو,DZ
واش رايك ندورو ليوم لمروك ونحطو علامهم هدك مدرب نتاعهم يامس قاعد غير يدكر في دزير ونسىء يهدر على بنين اياكامل مغرب,DZ
أنا وحدة من الناس يقريوك شهر عندك سمانتين إضراب,DZ
طيارة لو طاحت,DZ
من هذاك لعام ماشي راجل واله لوكان تبلعو الأرض تقياه,DZ
اذا كاين مستشفى من هاذ النواحي,DZ
حبيبة قلبي احلئ مانو بالكون,DZ
غازي المطيري متأكدة انه مو مطنشنا بس متأكدة انه يخط شي معين او مشغول بشي اما انه يتغلى علينا مستحيل عتبجمهورالذهبي,DZ
اختلاف كبير بين وردة وكنزة طبعا وردة كانت عايشة بمصر مو مثل وحدة تروح زيارة هيا حتى في بلادها تحكي مرات مصري,DZ
أيه الذباب الي في المريخ دا,DZ
ربي يعيشك أم راحوا لها النيمورات واله يا حصلت أي لهنا تجري,DZ
نرجس قوليلها قالتلك خالتي مويا قولي لمفيدة قولي لعلي يجي لعشا بلاربعا,DZ
رب يديم المحبه والاخوه والصداقه بينا ويعطيك ما تمناي يارب,DZ
حبيبتي ربي يخليك لينا ياعز اخت تعرفي معزتك عندي,DZ
او هاردلاك رامي راح تراطي الماكلة البنينة هاذيك,DZ
صح لكن انا شخصيا هاذ الشي يستفزني لانو تبانلي كيشغل رانا كامل في باخرة وحدة قاعدة تغرق بينا حنا نضحكو على بعضانا,DZ
مو عامل شي بس انتقام مو اكتر,DZ
لو بتقرا أفكاري هتقوم تبوس رجلي وتستعطفني وترجو منى الرضا أصل بفكر ارجعها لأبوها,DZ
ربي يشفيك خويا ويسهلك,DZ
زدرصيدك مبروزك يا غازي تستاهل,DZ
تؤ مالقيتي حجة اقوى من دي بقلك السناسن حتى لما سحبتو حتى لما كان الهاشتاج ليهم وكان في ظهور قوي لهزان وسنان وعيرة هزان مانسبو الريت ليهم لانو بساطة تعبنا واحنا نقول بطولة مشتركة في فرق بينا احنا واقعين,DZ
ماتلوميهمش جامي شافو بلادنا تخرج بالعلامة الكاملة في الدور اخر مرة صرات معظمهم مازال مازادوش,DZ
لا بصح بصح,DZ
اضافة لما قاله الاخ الكريم قبل ماتسخنلك الفرفارة تذكر دوما بلي لي يحرضوك ضد بلادك ماراهمش راح يجيبولك القفة كي يضربوك سنوات سجن ولي يتضامن معاك فلفيسبوك نتحداه يجيبلك لقفة ويجي يطل عليك,DZ
محمدعباسباوبرالقاهره يا مازلتو عايشين المهم دعواتكم لماما بالشفاء أمانة ادعولي ربي يطمني عليها باله عليكم,DZ
وكل الفنانين صغار وكبار يحتفلو بلادهم خاصة ان عندنا تاريخ مشرف وشعب اكبر ثورة عربية يحقلنا نرفعو راسنا بيها شوف صحابك مثلا,DZ
مرحبا بيك يا وليد لكن لعطلة فقط ما تخلي حتى واحد يطردك من أرضك,DZ
وبعدين البت لسه لابسة خاتم سنان يجمعهم دا ازاي,DZ
بيانسور,DZ
عليه افضل الصلاه وازكى السلام,DZ
اول مطبخ لغازي المطيري كان موجود مع قادر وبكرا اخر مطبخ له وكمان موجود مع قادر زدرصيدك,DZ
ربي يحفظك ختيتو كلامك يرفع من معنوياتي ربي يخليك يارب,DZ
يارب ياسهيلة تكوني فنانة عالمية مثل شاب خالد,DZ
حرام الي قاعد يصير,DZ
نقدر نسقسيك انتي جزائرية لان تلفتيهالي,DZ
Çış عودة قوية لنجمتنا البرتقالة ناطرة المسلسل على نار مين مثلي لي هو في نفس وضعيتي يعلق,DZ
ايه,DZ
ماقلتش مانعرفهاش قلت ما جربتهاش,DZ
ولا مرة سمعنا بمقاطعة في المغرب خليه يصدي من بعد خليه يريب سوبهان اله داك التشابه كي عاد هذا تبرهيش علاش انت جيتي تخرط,DZ
سافا الحمد له,DZ
اليابانين تحسهم مش فرحانين بالهدف مالهم نكدين لهدرجة,DZ
اب المانيا الكبير يبقى كبير,DZ
لا تنسي الهشتاق وإلا ماحد راح يشوف التغريدة الا الي عاملينك فولو,DZ
اغنية خدني معاك لفضل شاكر تذكرني في نهار الكورتاج نتاعي,DZ
هاذا بالضبط واش كنت حاب نقول,DZ
هذا حنا عدنا اسمه الملوي المسمن بطريقة اخرى ماشي هك,DZ
مزال مدخلناش فالماتش الجزائرالسينغال,DZ
كذابين ماحد راح يسمعلهم ماعندهم دليل ماتردو عليهم اصلا,DZ
اذا عندك الطالون,DZ
اله يحلي ايامك حبيبتي,DZ
هادي لخويا الي راه مبلوكيني,DZ
اها هاذ كلمة راني سامعتها من عند عاهرة مغربية ادي وجهك وروح باينة مسكين تفتح تويتر غير على غفلة من اسبوع لاسبوع تجي تريبوندي عليا دي وجهك وروح باسكو دزيرية ترخسك,DZ
السلام عليكم يا حلوين بليز مكن تشيلوني من المنشن رئيسي يمكن مات,DZ
بﺮوميار اني إينيفارسيتار,DZ
فى واحد راح يعزل الثاني,DZ
مشاهدات فيديو بانستغرام هو الانستغرام فيه مشاهدة فيديو على العموم روحي شوفي الايك على صور وفيديوهات,DZ
قلنا في كل مكان كاين المليح والقبيح ومالازم نعطي فرصة لقبيح يوسخ الأجواء يكفينا الي صاير بالبلدان العربية كلها زفت في زفت,DZ
كي اف سي عملو اشهار من فكرة نيمار يابنتي,DZ
واش دخلو هو بينا,DZ
يافلسطيني يا فلسطيني دمك دمي ودينك ديني,DZ
ربي يحفظها ويطول في عمرها ويخليها ديما تاج فوق الراس ربي يحفظ جميع امهات المسلمين ويرحم الي ماتوا يارب,DZ
غازي وابوحور مثل اخواني اذا جا ضيف يتهاوشو شخص عنيد والثاني اعند منه زدرصيدك,DZ
قد ما تكون مقودة عليك محشيتلك ماراحش تكون كيما هداك لي شرا لصاحبتو بال مبعد هي تزوجت قريب تجيب بيبي هو مزالو يخلص فيه,DZ
هدرت معاهم بزاف تمسخرت معاهم بزاف بصح جامي ما هدرتلهم على الدين,DZ
الحمد له ان جمهور غازي بن ناصر المطيري جمهور واعي وما يهمه كلام المحبطين تصبحون على خير يا المحزم المليان نحبكم نتوما فور سناباتغازيالمطيري,DZ
جو وؤو ول,DZ
انا لي صح استغربت ليش بقيو نور جورج,DZ
يارب اتوفق في امتحان بكرا,DZ
صباح الورد على شاطرين,DZ
طلعلنا شمسو بطلعة جديدة والشعب راو يتبع,DZ
ما يكفيكش الحال ما يكفيكش الوقت,DZ
أول مرة أشاهد مختارقيق ديوان الرئاسة يضحك لكن واش جابوا,DZ
كشرودتي نحبك مريوملاتطولينالغيبة,DZ
ماعلاباليش مكاين حتى حاجة في بالي,DZ
مسكينة غضتيني راكي تعسي فيا رايحة ني تشاتشوبي لكبيدة,DZ
جيتي تهبلي بنت لبلاد,DZ
انا ماقلتش كلهم يشحدو لكن حكيت لي شفتو في فئة استغلت طيبت الجزائرين لكن اغلبهم نساء مافي رجال,DZ
السرقة لما تكون وراء الناس وهذي قدام خلق اله,DZ
روعة عجبتني بزاف الصورة الي فيها الثلوج في اي مدينة في الجزائر هي شكرا لكم,DZ
حابة نسرقها نحطها في الفيس,DZ
رانا حابين نقدمولك المشروب لي تحبو نتا مبعد نقدمولك العشا تقدر تصيب كامل المشروبات الي كاينة في هاذ الرحلة في دليل المعلومات تع المجلة تاعنا,DZ
الاخوة الي لا علاقة بالمجال العسكري والسياسي محليا وعالميا او متابعين ليه باي شكل ارحمونا من تعليقاتكم واله ما لازم تعرفوا كلش وتعلقوا على كلش الجزائر,DZ
لا تقدمي عقلك على الشرع فبالتأكيد شرع ربنا لكل العصور وبعدين انتي متزوجيش علشان زوجك بالتأكيد هيتجوز عليكي تلاته مش واحدة لقبح عقلك,DZ
هوما ماهمش كاتبينلك الشعارات ليك راهم كاتبينها لي فرضو علينا هاذ الغة سنة مادامهم يحبوها خاطبوهم بيها,DZ
شو قالت مكن تخبرونا,DZ
الكحلوشه يا رياض الكحلوشه يا رياض الكحلوشه يا رياض,DZ
حياتك تركي لا ترقع وين الوقفه اله,DZ
سامحني اليدين قصار بزاف,DZ
اله يسلمك ختيتو ويحلي ايامك يارب,DZ
الحكم قاعد يقتل كل مجهودات السيتي بقراراته,DZ
ماتفكرنيش وفي الاخير احكم الدار حتى يفرج ربي,DZ
مونطو شباب بزاف اذا مصنوع في بريطانيا,DZ
حبيبتي فكرة انهم يحبو بعض بس خيانة مش مهم التفاصيل ماتفتيش في الموضوع اكتر,DZ
عندو لحق هكذا افضل ما يجي مايذلنا اكثر نستعرف بيه على الاقل كان صادق,DZ
يعني شوية منطق مش مكتوب جبينهم انهم مصرين بش يتجاهلهم عمدا انا مانعرفهمش وماكش في بالي مصرين وزيد راه فرحان وراه لابس ميدالية يعني سلم عليهم قبل مش عرس كل مرة يرجع يسلم حابين يلهو شعبهم يعملو محرز سب بف رياضمحرز,DZ
استحي علئ شيباتك واله لما تموتين الدود ينقرف ومايقدر ياكلك,DZ
الموت مافيه حب وكره خلونا منو هو حر ماتنشغلو بالتفاهات عندنا المهم,DZ
ابتسام انسحبت من المسابقة,DZ
روح شوف الخليجية نبشولك من حسابك القديم نازلين مسخرة على ها التغريدة,DZ
ايه مايتشبعش منو,DZ
حتى كان قصدي بالسحارة اي جمالها الساحر لهجتنا عكس مفهومكم,DZ
مش خايفة مادمت معك انتي الراعي الرسمي ليا غدوة وكي نغلط انتي رجعيني لطريق,DZ
راهم لاتين برودرف ومخلين المشاهدة,DZ
عن جد اكلت المقلب هع برافو عليك,DZ
لكثرين يكتبون كل النتائج المكينة في مبراة كرة قدم مالازم تستسب توقعاتهم,DZ
شحال رقم الباب,DZ
وقتاش يجوز ترمينال مان,DZ
بالعقل بربي نشا اله تربحي ديري واش حابة في حياتك,DZ
يعيشك لكن انا اقصد نفسي استاهل الضرب واله,DZ
كيفاش نديرو باش نروحو لديزني لند,DZ
شحال نحبها بجاية طريق السلامة,DZ
بيانسور,DZ
مرات ندم ان عرفت ناس واعطيتهم من وقتي ربي يهدي ماخلق ماعليش درس جديد تعلمتو,DZ
هاد المخلوق فكرني في بن صالح وجماعته ياخي روحو اخطونا وخلونا نقعدو في أزمة,DZ
نسيتي دفعة من هالناس الي تحكي برشا بالي يلزم والي مايلزم وبصراحة مع احترامي نصنفك منهم بلا ماتقولي اش دخلك في حسابي لانه بكل بساطة بيني وبينك ناس عاملة ليهم وعاملين ليا فولو ردو عليك او عملولك لايك لهدا شفت منشورك وبروح رياضية شفت انك نسيتي هالدفعة من الناس فحبيت اذكرك فيهم,DZ
يصح هي قالت ماتقوليش سندريلا الجزائر علاه تسمي فيها هاك,DZ
يمكن اسبوع كاقل تقدير,DZ
كي شغل واحد باغي يطلع لقمر على متن برويطة المهمة صعبة شوية حتى لو كان الدهن جديد,DZ
امنعتي مقعدوكش اعلى حاجة اخلاف,DZ
المعذرة كيفاش نديرو باش نلحقوا لضفة,DZ
اذا طازج,DZ
ساعات تقريبا يبدا الكونسرت,DZ
بصح بكري ما كانتش الدنيا ساهلة كيما وقتنا هادا,DZ
فات التوسويس قلت راح الماتش في شكوبي,DZ
حسنا هيا نروحوا نعاونك فالواجبات دياولك مبعد ناكلو بيتزا,DZ
اقطع علاقتي بيهم الاثنين واله يهنيهم بعض,DZ
حبيبتي ما يأمرش عليك ظالم كيما يقولو المصرين ربي يخليك ليا اختي عزيزتي,DZ
لا انتي رفعتيه يا ماما الكل عارف ارقامكم مزورة تانيا في طبقات مختلفة بتابع المسلسل ومش منضمة لسوشيل ميديا ابسط مثال الاعلان بطلو الب وليوم الرابع ترند باليتيوب مرتبة,DZ
لالا حابة كيما جماعة اميرة بحجابي تجيهم مجاملات الكترونية من وحد العيباد,DZ
الناس امبارح بتخانق برنامج وناس بتبر والبوشي بيشق طريقو نحو النجاح ولا على بالو,DZ
بالتوفيق النجاح يا فنان,DZ
جاية تردي ليه مين حكى معك اصلا ماهو الهوس يعمل اكثر انتي شفتي كلمة مافي موسم وهجمتي هتموتي ريلاكس بيبي,DZ
تقعدي حياتك كامل انت تقراي,DZ
لو شفت جمهور كامب نو لما دخل فاتي كيف بدا يصفق له كيف كان يصفق له بعد كل هجمة تعرف الفرق,DZ
من بكري مخيبة ظنك انا,DZ
منكم صح تستنو في القرعة زهرنا ونعرفوه,DZ
الهم امين انتم اطيب,DZ
نقدرندي هاذا داخل الجهاز,DZ
واو حاجة شابة ويجوز على بسكرة,DZ
ﻟـ ﻳﺒـ ﺪﻝ ﺍﻟﻘـ ﻤﺮ ﺑﺎﻟـ ﻨﺠ ﻮﻡ ﻳـ ﺠـ ﻴﻪ ﻧـ ﻬـ ﺎﺭ ﻭﻳـ ﺒـ ﺎﺕ ﻓـ ﺍﻟﻈـ ﻠﻤﺔ ناسبكريقالو,DZ
هاك الغرفة ألف مئتين سبعة,DZ
مكن قاله احنا حابين جروح مثل هذي في الدوري,DZ
وين تروح تلقى لعلام,DZ
انا كنت من جمهور كنزة لكن غرورها زاد عن حده,DZ
حياتك هم يقولون الغاء البرايم تضامنا معهم على الاقل لو ما حطو شيلات الفاصل اما البرايم عادي يكملوه,DZ
واله ما يجي نهار يعملونا مجانين مرة وحدة,DZ
يسعد صباحك بكل خير,DZ
معاك حق مشكله لما يكون جمهور الشخص مبزرة اله يعيد عبد القادر,DZ
راك تشوف قتلونا بلخلايع,DZ
يا عمري انتي يخليلي ياكي منوش,DZ
طيب اطلعي من مود المسلسل والتعلق المرضي لي انتي فيه وبعدين ناقشي,DZ
طب والنبي ماتحلفيش ياختي ارقامكو مزورة وياز في تركيا ماحدش معبرو لولاكش العرب والروس والحسابات الوهمية ماشفناش عليه خبر في الصحافة ولا في تيفي وحتى الاعلام لما اكلم اكتر النجوم تداولا كان الب ضمن القائمة مابصوش لسوميرا ومن الاخر الكوبل هازسين وهيفضل هازسين مهما حصل,DZ
مفهمتش علاه مقيمينها مدايرين ليها هاشتاق الجزائري راه راجل سيد الرجال يتحط في العينين فوق الراس من زمان لالعنفضدالرجالياسلال,DZ
غازي المطيري شخص حاب ينجح قلبه طيب وما يكره احد ويحب الخير لكل يمزح يضحك وعايش بعفوية بس بدي افهم لي يسبوه ليه يكرهوه زدرصيدك,DZ
ختي بركاي ما تحلي فيه يرنك يخبط راسو مع السور,DZ
وي لازمك بحدا النايلسات بين النيسلسات الهوتبيرد سهلة جدا حتى ترد تاعها إشارة تاعو قوية,DZ
اذا هاذو الأمتعة دياولك كامل,DZ
نكتة قالك واحد فرطاس حس بحاجة تمشي فوق راسو لما تأكد لقاها نملة جا ينحيها قاتلوا ربي يحفظك آخر تزحليقة ونهبط,DZ
هاه باه ما تروحش تشقا,DZ
مصري لان الهز ده الفه بالذات مبيعملهاش غير المصري,DZ
صدمتيني بنتي عندها وانا ماعنديش تخيلي,DZ
الحمد له لاباس ربي يحفظك,DZ
احليحاجهفيرمضان انو المطبخ ياخذ اجازة صباحية يعني فيه نوم وراحة,DZ
المعذرة اضغط على زر التصوير من فضلك,DZ
إيه سيد طاناكا كاين زوج رسائل ليك,DZ
صحكتيني واش دخل المغرب في النص وعلاش كاش واحد شفتيه حل فمه ولا سبهم فرحنا كتاهلت بمانه فريق جزائري,DZ
مربك نقدر ترسملي مخط,DZ
حنا كملنا بﺮاسك إيه,DZ
الذيابي معك حق فزعات والدليل دايما الدرع وقالها اما المطيري مث ابو حور الجمهور صوت لهم والدليل كل مرة مركز مختلف,DZ
بدون نقاش ملك افريقيا حروزنا برافو,DZ
احنا هوما الي انرخسو في ارواحنا ليهم,DZ
قالك الجمل ماشافش عرورتو يعاير في عرورة صاحبو هوما فأسفل الترتيب يضحكو عالغاشي,DZ
البرنامج كرهت الشعر وهنا كرهت رموز اليتزا والفراشة والنحلة امزح امزح انا معكم قلبا وقالبا زدرصيدك,DZ
اه يا لوكا ريالمدريداتليتكومدريد,DZ
انا كمان معجبة بالكورين وكوريا كل بس مو لدرجة التفاهة هذي يا حبيباتي مش كذا وله,DZ
حنا كاين غير بغلافات اشهر وحدة تشيواوا,DZ
من احسن الافلام الي شفتها,DZ
منصور فيه شي اسمه وهدا الشئ القانون الي حطه مش انا يعني الأوراق تقول هكدا لكن اكيد انا جزائرية أبا عن جد حتي لو ولدت في فرنسا نحب الجزائر بلادي بلاد اجدادي ونحب فرنسا كذلك ونحب جيراني الفرنسين الي كل يوم كي نشوفهم بالاسنسير يصبحو عليا بابتسامة,DZ
لافيبلاس هادي جاتني من لونجين لي حكمتني بكري دارتلي روماتيزم أغتيكولار إﻳقﻮ في قلبي,DZ
او علاش غير الخير,DZ
مرحبا سوهان عودة ميمونة,DZ
توحشتك ماروكشن متغبيش علينا وسيلينا غجرية هخ,DZ
لا مش غلطانة لكن كالعادة ينسبوها ليهم نفس الشي صار العام الي فات,DZ
نخلي البير بغطاه خير,DZ
لا حول ولا قوة الا باله الي ماجربهاش يكدب سلكينا غدا بسلامة الراس,DZ
لا انتي بقى مصدقة كلامهم وبتضعفي يابنتي التسريبات لي عندهم لحد حلقة اكتر من كدا هما مش عارفين حاجة,DZ
ناس مرضى محروقين يموتو الفتنة اطلعو برا التاج بف تعيو قسما باله الجزايزالسنغال,DZ
انا له وانا اليه راجعون اله يرحمه يارب,DZ
ماشاء اله اله اكبر,DZ
هاذي ماشي الطلبية تع شخص واحد آخر,DZ
راني نجيب لها معايا رفيقة قولي لها متهنية,DZ
آما ساعة لازم نولي,DZ
اله ما علابالي كيفاس,DZ
حبيبتي ربي يخليك لنا,DZ
صار الحكي سمر ومهند مونتاج مؤثر جدا,DZ
آه الرجالة أم خفاف,DZ
راك تراطي كيما راطيت أطباق عيون المهى,DZ
ايه قلتلك نتلق شعري أنا,DZ
يعيشك ماتش رائع جدا مازال الموسم طويل,DZ
واله حنا تبانلنا برك مشفتيش لما خرج ساني تغير مركز محرز أصبح كل العب على محرز مكن داخلة في التكتيك من بيب لأنو مستحيل يشوف شيئ مثل هذا لا يتصرف,DZ
راني حاب خريطة تع سان فرنسيسكو وضواحيها,DZ
بارك ليها في عيد ميلادها مالكم يا همج حقا كلمة همج صايرة قليلة عليكم مع كل ما في الكلمة من معني واش بيكم ياربي مالكم لا في البلاد صالحين ولا في النت واش صاير معاكم اش دخلكم بخصوصيات الناس ادا هم يحكو مع بعض مثلا في الخاص لازم يستشروكم مثلا بهدلتونا,DZ
طبيعي كنتي لسا صغيرة شفتي بس ما فهمتي,DZ
عندك الحق تخدمي,DZ
أيا بالسلامة,DZ
متكبرين شايفين حالهم حاسبين انو بفلوسهم يشترو كل شي,DZ
يستني ثلاث شهور ولا ربعه يجي يقولها انا سلكت فقدت الذاكره هاذ المرا علي مرتو الزاوجه صابتني سلكتني دوك لازم نرجعلها خيرها نتزوجها هكذا يضرب عصفورين بحجر واحد,DZ
ماعليش نقولو مايعرفش يقرى فاتورة وصفة مي خدم مخو وعرف أن قانون يرهن مصير البلاد مالازمش يصدر في هاذ الفترة نتا يا لي تعرف تقراهم مافهمتهاش شفت شكون الداب دوك يسقطقانونالمحروقات,DZ
الناس اي تخدم وانت عقبها ضحك ايا دير قلبك,DZ
اسمي نفسي هند ولا شو,DZ
لحظة حسيت ان غازي المطيري صار له شي زدرصيدك,DZ
امين يارب العالمين ربي يرحمه ويجعل مثواه الجنه يارب ان له وان اليه راجعون,DZ
ماكنت بعرف انك مضيعتيه ياعمري,DZ
شفتي وجه البقراج عطيتو بلوك,DZ
جاية يعني على جال لاعب تأجلو داربي ياك لعب العام لي فات كليتو ثلاثية بوجوده مي ماعليش خلي يتأجل هذاك هو ترجعو رونالدو تاعكم نسترجعو جابو الهدرة فالميدان,DZ
كنت حابة نضحك عليك شويا لكن بجد سلامتك,DZ
راهو متابعك غير انا لالا ايه باين فصاها,DZ
حبين ايمرضونا باش يتهناو منا,DZ
وأنا بحترم الديانات لما مابتدخلش فينا أنا ذكرت الشيعة عشان إيران كمان بتحب تمتد في دولنا وبتحكم كمان بالقوة والعنف يعني اذا بتكره الإخوان عشان كده فمش لازم تحب بشار,DZ
عادي شو نعملهت لو افريم كنت طرت من لفرح,DZ
تاع الفيكس,DZ
فالتريزور,DZ
ما تنساناش,DZ
ده فيه فديو تاني بيقول معايا فلوس حبات بره مش حتاخدو جنيه انتو فاكرين اني جاي سياحه يعني فصلني,DZ
علاش راهو تهنى من التمسخير انا غاضوني بناته,DZ
بوه عليا المرضى من اكبر من اكبر بيك بيها احترموا الناس وبلعوا فمكم نقطة السطر مادخلكم هي ترد من او وقتاش العمي انتم مجانين نحكي شرق يجوني غرب تافهات يلا طيري منك ليها ناقصني مهابل انا فانز شاهين امانة ادا انتبهتوا ألي منشوري ماتهتموا لبعض التافهات الي مايعرفو شنو يكتبوا,DZ
ما نضيعوش الوقت في عفايس تافهين,DZ
هو حاب يقول إنه حتى لو العبد يشرب هاد الشي مش لازم يخليه انسان مجرم ويقتل امرأة بريئة أو يدير اي جرائم أخرى على خاطر باباه قالو راني كنت شارب ومش فايق مع روحي على هاذي قتلت يماك وناس بزاف يديرو جرائم ومبعد يمسحوها في الشراب,DZ
ايبارك فيك انا عندي اليوم روز ابنات خاوتي اذاو الباك,DZ
إن شاء اله يتأهلو يفرحونا ماشي كيما هاذوك لي خرجو مع البحرين,DZ
حالتي انا نسمع لاشخاص لي يحكو بالتفاصيل,DZ
واله مالقيت غير حسبنا اله ونعم الوكيل واله شفت شتايم قلبي وجعني متمنبة يقلولي شي غلط عملتو سهيلة حتى تعرض لكل هذا الهجوم,DZ
عسى العام غير ياعسى هآلعـآم لي فرحہ وخير عيدميلادي,DZ
الطبيب هادا يحب يطم لحوايج ترادسيونال,DZ
لعشرة أيام,DZ
نظن راح تستنى بزاف,DZ
ربي يشفيه ويشفي جميع مرضانا,DZ
السيتي راح ترجع في النتيجة تفوز,DZ
من آما جيهة جاي يونين سكوير,DZ
هذا اكيد عيونا مغمضة,DZ
اه اوكي دك فهمت كلامك الصراحة نفضل اسأل اله ان يهدبه ياك هكدا ماشي اعتراض على راي العلماء,DZ
بالصدفة لما رحت مرة لام البواقي لقيتو رح يدير أمسية شعرية لتم وحاطين صوره في كل مكان وقفت قدام إحدى الصور وانا فرحانة مع اني مش رح نحضر فات عليا واحد وبلاما شاف الصورة قالي واش حيجيبولك تامر حسني قلتلو بعيد الشر عليا إذا انا رح نهبل على واحد كيما هداك راهو هشام الجخ,DZ
راني نشوف نحاول نكري سيتروايان,DZ
أس شفتي المطرح تاعك,DZ
يارب احفظ بناتنا واولادنا من كل سوء وانتقم من الذئاب البشرية الي سرقت البراءة من الاطفال,DZ
شهادة ليسانس مبصح نسيت قاع واش قريت,DZ
اذا لازم نلبس مونطو وربطة عنق,DZ
قالت لي أم درك يجيبوا مازالو ما جابوش الدوا وين تخدم صحبتها أديك,DZ
المطران ابدعو القزوعي زدرصيدك,DZ
ياويلو يوم يروح لسعوديه ساب الصهاينه راح قدام ايران,DZ
لا حول ولا قوة الا باله حرام عليهم,DZ
ياعمري احلى سايكو دا والا ايه اي,DZ
صحيت هكا نقولك بصحتك بالخط العريض,DZ
حشرات قاعدة أدور في السوشيل ميديا قسما باله تستاهل الحرق والدعس وكل انواع العداب واله بلادنا صايرة معفنة من جميع النواحي ادا ما تصرفنا وانقذناها يصيبنا اكثر في الواقع ربي منزل علينا الوباء وحاب في النت العفن بدا يط لع بهدلتونا اله يبهدلكم,DZ
ما في اطيب وأهظم وخفة دم من شكران مرتجي,DZ
متأكدة ان الغوازي الان يسولفون عن كلام اليوم وحضور المطيري زدرصيدك,DZ
لحم بقر او غنم مو سمك ابدا,DZ
دايما بالبيت سواء فطور او غدا او عشاء منحبش اآكل برا,DZ
نقدا ولا بطاقة الخصم,DZ
بكرا اجازة ما في شغل,DZ
هداك زمان وقت ماكان اليوتوب نظيف كان لما فنان ينزل اليوتوب ويعمل مليون الناس تفجع اليوم كثر خير الخبثاء غنية حتي محلي مش معروفة قالك عملت ماعرف كم مليون انتي من تكدبي ادا الناس الناس صارت تعرف شنو اليوتوب ادا نفسك اله يزيدك كدب كدب,DZ
اقسم باله حاسة نفسي هبله كل ما تزعجني وحدة وتسب غازي المطيري احكي معها جزائري واقول لبخاطري تسكت ما ترد عليا رحمة حل ولا اروع سناباتغازيالمطيري,DZ
جيت من النرويج,DZ
