tweets,tweets_clean,preprocessed_text,type,type_encoded,class,class_encoded
 كارمين سيارة كهربائية ب مليون يورو ,كارمين سيارة كهربائية ب مليون يورو,كارم يار كهربائي ملي,neutral,0,standard,0
 تفاصيل دقيقة عن اجتماع لقجع والزيات ,تفاصيل دقيقة عن اجتماع لقجع والزيات,فاصيل دقيق اجتماع قجع الزي,neutral,0,standard,0
الا مشيتي نتي خلاص,الا مشيتي نتي خلاص,الا مشيت خلاص,neutral,0,dialectal,1
من شكى همه للناس زاد °°° و من شكى همه لله زال يحتاجها كل من وجد الغدر والخيانة بدلا من الوفاء بالعقود والعهود، ويحتاجها كل مستضعف عاجز يتصارع أهل الطغيان أيهم يضربه أولا، وأيهم يسحقه سحقا كافيا ويحتاجها كل داع إلى الله وجد الآذان قد صمت ويحتاجها كل محب للخير,من شكى همه للناس زاد و من شكى همه لله زال يحتاجها كل من وجد الغدر والخيانة بدلا من الوفاء بالعقود والعهود، ويحتاجها كل مستضعف عاجز يتصارع أهل الطغيان أيهم يضربه أولا، وأيهم يسحقه سحقا كافيا ويحتاجها كل داع إلى الله وجد الآذان قد صمت ويحتاجها كل محب للخير,شكى همه ناس زاد شكى همه لله زال حتاج غدر الخيان دلا وفاء عقود العهود، يحتاج مستضعف عاجز تصارع أهل طغيان أيهم ضرب أولا، أيهم سحق كافيا يحتاج داع الل آذان صمت يحتاج محب خير,neutral,0,standard,0
والوووو الوداد ولا غير,والوووو الوداد ولا غير,الوو وداد,neutral,0,dialectal,1
صفات مشتركة بين الأذكياء يكمن اكتسابها ,صفات مشتركة بين الأذكياء يكمن اكتسابها,صفات مشترك أذكياء كمن اكتساب,neutral,0,standard,0
معنى الوفاء ، ان لا تخذل احدا كان يثق بك,معنى الوفاء ، ان لا تخذل احدا كان يثق بك,معنى وفاء ، ان خذل احدا يثق,neutral,0,standard,0
الجيل اللي جاي خاصو يكون واعي باللي مصلحة البلاد و الافراد فوق كل اعتبار عاد نجو لمسألة الترفيه,الجيل اللي جاي خاصو يكون واعي باللي مصلحة البلاد و الافراد فوق كل اعتبار عاد نجو لمسألة الترفيه,جيل الل جاي خاصو كون اعي الل مصلح بلاد افراد اعتبار نجو مسأل ترفي,neutral,0,dialectal,1
خطأ إداري,خطأ إداري,خطأ إدار,neutral,0,standard,0
اتق الله,اتق الله,اتق الل,neutral,0,standard,0
البدايات التي لا ترضي الله نهايتها لا ترضيك,البدايات التي لا ترضي الله نهايتها لا ترضيك,بداي رضي الل هايت رضي,neutral,0,standard,0
امرأة رفقة ابنها المريض صورة عادية لاي ام رفقة فلدة كبدها ما الشيء الذي لم الاحظه انا,امرأة رفقة ابنها المريض صورة عادية لاي ام رفقة فلدة كبدها ما الشيء الذي لم الاحظه انا,امرأ رفق ابن مريض صور عادي لاي ام رفق لدة كبد شيء احظ,neutral,0,standard,0
الصناعة التقليدية في مراكش ,الصناعة التقليدية في مراكش,صناع تقليدي مراكش,neutral,0,standard,0
السفينة في الميناء أمنة لكن ليس لهذا الغرض تصنع السفن,السفينة في الميناء أمنة لكن ليس لهذا الغرض تصنع السفن,سفين ميناء أمن هذا غرض صنع سفن,neutral,0,standard,0
انت وزهرك ,انت وزهرك,زهر,neutral,0,dialectal,1
مازال مادوزت عام ف الرباط حتى نص عام باقي ماكاملش,مازال مادوزت عام ف الرباط حتى نص عام باقي ماكاملش,مادوزت عام رباط نص عام اقي ماكاملش,neutral,0,dialectal,1
استمرار البحث عن ناجين من انهيار مبنى باسطنبول ,استمرار البحث عن ناجين من انهيار مبنى باسطنبول,استمرار بحث اجين انهيار مبنى اسطنبول,neutral,0,standard,0
 مع بداية الموسم قالها ,مع بداية الموسم قالها,داي موسم قال,neutral,0,dialectal,1
والله ما تتفرجي فلمسلسل حتى يكمل الماتش,والله ما تتفرجي فلمسلسل حتى يكمل الماتش,الل تفرج لمسلسل كمل ماتش,neutral,0,dialectal,1
مورينيو مطلعها على المنتخب السعودي,مورينيو مطلعها على المنتخب السعودي,مورينيو مطلع منتخب سعود,neutral,0,dialectal,1
الابتسامه هي الوسيلة الوحيدة لكسر الحاجز بين الناس,الابتسامه هي الوسيلة الوحيدة لكسر الحاجز بين الناس,ابتسام وسيل وحيد كسر حاجز ناس,neutral,0,standard,0
بإذن الله تعالى,بإذن الله تعالى,إذن الل عالى,neutral,0,standard,0
يجب التفكير في تحويل زخم مسيرة اليوم في الرباط الى اطار جامع شامل يؤطر النضالات عبر ربوع الوطن,يجب التفكير في تحويل زخم مسيرة اليوم في الرباط الى اطار جامع شامل يؤطر النضالات عبر ربوع الوطن,يجب تفكير حويل زخم مسير يوم رباط الى اطار جامع شامل ؤطر نضال عبر ربوع وطن,neutral,0,standard,0
السعودية لم تختار التصويت للملف الأمريكي بل كان من المفروض عليها التصويت له وهذا هو المؤسف في الأمر السعودية قرارها ليس بين يديها,السعودية لم تختار التصويت للملف الأمريكي بل كان من المفروض عليها التصويت له وهذا هو المؤسف في الأمر السعودية قرارها ليس بين يديها,سعودي ختار تصويت ملف أمريك مفروض علي تصويت هذا مؤسف أمر سعودي قرار ديها,neutral,0,standard,0
يستحقها تصرف غير ناضج حرمه من التتويج القاري ربما يكون درسا حتى يكف عن هذه التصرفات ويركز على مستواه مع الاسف,يستحقها تصرف غير ناضج حرمه من التتويج القاري ربما يكون درسا حتى يكف عن هذه التصرفات ويركز على مستواه مع الاسف,ستحق صرف اضج حرم تتويج قار ربما كون درسا يكف تصرف يركز مستوا اسف,neutral,0,standard,0
ابسط فطور من مراكش,ابسط فطور من مراكش,ابسط طور مراكش,neutral,0,standard,0
الفيفا يدرس إمكانية رفع عدد المنتخبات ,الفيفا يدرس إمكانية رفع عدد المنتخبات,فيفا درس إمكاني رفع عدد منتخب,neutral,0,standard,0
من لا يقدر وجودك لا تعظم غيابه,من لا يقدر وجودك لا تعظم غيابه,قدر جود عظم غياب,neutral,0,standard,0
الدين الرسمي للمملكة طبقا للدستور هو الدين الإسلامي ولما نتحدث عن الإسلام، نعي جميعنا أن شرائع الله تؤخذ كاملة من دون تمييز مبدإ إسلامي على آخر هذا الدين الحنيف الذي لو طبقت تعاليمه لعاش المسلمون في رغد من العيش، وعادت الحقوق إلى أصحابها وانتفى الظلم والغش والمحسوبية,الدين الرسمي للمملكة طبقا للدستور هو الدين الإسلامي ولما نتحدث عن الإسلام، نعي جميعنا أن شرائع الله تؤخذ كاملة من دون تمييز مبدإ إسلامي على آخر هذا الدين الحنيف الذي لو طبقت تعاليمه لعاش المسلمون في رغد من العيش، وعادت الحقوق إلى أصحابها وانتفى الظلم والغش والمحسوبية,دين رسم مملك طبقا دستور دين إسلام لما تحدث إسلام، نعي جميع شرائع الل ؤخذ كامل مييز مبدإ إسلام آخر دين حنيف طبقت عاليم عاش مسلم رغد عيش، عادت حقوق أصحاب انتفى ظلم الغش المحسوبي,neutral,0,standard,0
باختصار شديد,باختصار شديد,اختصار شديد,neutral,0,standard,0
اه معرفت انا تفرجت في دقايق من الشوط الأول,اه معرفت انا تفرجت في دقايق من الشوط الأول,اه معرفت فرجت دقايق شوط أول,neutral,0,dialectal,1
اودي كاع هاكاك كاتوقع مرة مرة حتى نتي اقوى مما تظنين ,اودي كاع هاكاك كاتوقع مرة مرة حتى نتي اقوى مما تظنين,اود كاع هاكا كاتوقع مرة مرة اقوى ظنين,neutral,0,dialectal,1
لا صراحة يمكن جيت لدنيا بعد هاد الجيل,لا صراحة يمكن جيت لدنيا بعد هاد الجيل,مكن جيت دنيا جيل,neutral,0,dialectal,1
و الله ما شفتها في الاول و حتى تويتر ماتيعطيش فرصة لتصحيح الأخطاء الاملائية فرتوتي ,و الله ما شفتها في الاول و حتى تويتر ماتيعطيش فرصة لتصحيح الأخطاء الاملائية فرتوتي,الل شفت اول ويتر ماتيعطيش رصة تصحيح أخطاء املائي رتوت,neutral,0,dialectal,1
ليس كل الشعوب,ليس كل الشعوب,شعوب,neutral,0,standard,0
تخايلوا معايا انه هذا مستشار,تخايلوا معايا انه هذا مستشار,خايلوا معايا انه مستشار,neutral,0,dialectal,1
اجيو واحد التازية فيناهيا,اجيو واحد التازية فيناهيا,اجيو تازي يناهيا,neutral,0,dialectal,1
 ماكاينش معامن ماكاينش ,ماكاينش معامن ماكاينش,ماكاينش معامن ماكاينش,neutral,0,dialectal,1
لا آريد منك الجسد، آريد منك الحياة والحلم معك، لا آريد منك آن تتزيني بالمساحيق بل تزيني بالكتب، ولا آريدك آن تكوني نصفي الآخر، بل كوني آنا وآنت بروح واحد ,لا آريد منك الجسد، آريد منك الحياة والحلم معك، لا آريد منك آن تتزيني بالمساحيق بل تزيني بالكتب، ولا آريدك آن تكوني نصفي الآخر، بل كوني آنا وآنت بروح واحد,آريد منك جسد، آريد منك حيا الحلم معك، آريد منك آن تزين مساحيق زين كتب، آريد آن كون صفي آخر، كون آنا آنت روح,neutral,0,standard,0
ما زال في العمر متسع من الحياة و الأمل ز الحب و البهجة و تصحيح الأخطاء والعفو والتسامح و السعادة ,ما زال في العمر متسع من الحياة و الأمل ز الحب و البهجة و تصحيح الأخطاء والعفو والتسامح و السعادة,زال عمر متسع حيا أمل الحب بهج صحيح أخطاء العفو التسامح سعاد,neutral,0,standard,0
انا خدمت و ساليت,انا خدمت و ساليت,خدمت اليت,neutral,0,dialectal,1
موعدي معكم غدا,موعدي معكم غدا,موعد معكم,neutral,0,standard,0
انا ردتهالو بالمثل ,انا ردتهالو بالمثل,ردتهالو مثل,neutral,0,dialectal,1
من يهددك بالرحيل اهمس في اذنه هل تعرف الطريق أم أخبرك به,من يهددك بالرحيل اهمس في اذنه هل تعرف الطريق أم أخبرك به,هدد رحيل اهمس اذن عرف طريق أخبر,neutral,0,standard,0
وقتاش شاركو فشي مظاهرة من غير المظاهرات ديال دعم الشعب الفلسطيني,وقتاش شاركو فشي مظاهرة من غير المظاهرات ديال دعم الشعب الفلسطيني,قتاش شاركو فشي مظاهر مظاهر دعم شعب فلسطين,neutral,0,dialectal,1
هذا عندنا نحن اما هم فلا اعلم كيف يتعاملون مع اسماء من عندنا,هذا عندنا نحن اما هم فلا اعلم كيف يتعاملون مع اسماء من عندنا,عند اما اعلم تعامل اسماء عند,neutral,0,standard,0
اجرح شخصا بالصدق لكن لا تسعده أبدا بالكذب,اجرح شخصا بالصدق لكن لا تسعده أبدا بالكذب,اجرح شخصا صدق سعد كذب,neutral,0,standard,0
الأفلام الأمريكية تستحوذ على سوق السينما المغربية ,الأفلام الأمريكية تستحوذ على سوق السينما المغربية,أفلام أمريكي ستحوذ سوق سينما مغربي,neutral,0,standard,0
ليت بعض المواقف مالها ذكرى,ليت بعض المواقف مالها ذكرى,مواقف مال ذكرى,neutral,0,standard,0
الرحيل المفاجئ,الرحيل المفاجئ,رحيل مفاجئ,neutral,0,standard,0
بدأ يوم الأحد مارس في استعادة مواطنين كانوا قد التحقوا بتنظيم الإرهابي في مناطق النزاع ب ,بدأ يوم الأحد مارس في استعادة مواطنين كانوا قد التحقوا بتنظيم الإرهابي في مناطق النزاع ب,بدأ يوم أحد استعاد مواطن كانوا تحقوا تنظيم إرهاب مناطق نزاع,neutral,0,standard,0
قرأتها من قبل,قرأتها من قبل,قرأت,neutral,0,standard,0
علاش جمهور الوداد كاعي على تهراس بعض الكراسي في طنجة وساكت على تهراس بعض الكراسي في فاس,علاش جمهور الوداد كاعي على تهراس بعض الكراسي في طنجة وساكت على تهراس بعض الكراسي في فاس,علاش جمهور وداد كاع هراس كراس طنج ساكت هراس كراس فاس,neutral,0,dialectal,1
ف كلتا الحالتين كان غ يماركيها الروسي,ف كلتا الحالتين كان غ يماركيها الروسي,حالت ماركي روس,neutral,0,dialectal,1
قافلة طبية تستهدف آلاف الأشخاص بإقليم بولمان ,قافلة طبية تستهدف آلاف الأشخاص بإقليم بولمان,قافل طبي ستهدف آلاف أشخاص إقليم ولمان,neutral,0,standard,0
أحذية صديقة للبيئة ,أحذية صديقة للبيئة,أحذي صديق بيئ,neutral,0,standard,0
بطبيعة الحال مافهمت والو انا,بطبيعة الحال مافهمت والو انا,طبيع حال مافهمت الو,neutral,0,dialectal,1
الصمت أفضل من إي كلام,الصمت أفضل من إي كلام,صمت أفضل كلام,neutral,0,standard,0
في داخل الحلبة كما في خارجها لا عيب في أن تسقط أرضا بل العيب في أن تبقى على الأرض ,في داخل الحلبة كما في خارجها لا عيب في أن تسقط أرضا بل العيب في أن تبقى على الأرض,داخل حلب خارج عيب سقط أرضا عيب بقى أرض,neutral,0,standard,0
كيف تتعلم لغة جديدة في ساعة واحدة يوميا ,كيف تتعلم لغة جديدة في ساعة واحدة يوميا,تعلم لغة جديد اعة احد وميا,neutral,0,standard,0
رافق لي يبغي ليك الخير فوجهك وفظهرك ماشي النفاق الإجتماعي ,رافق لي يبغي ليك الخير فوجهك وفظهرك ماشي النفاق الإجتماعي,رافق بغي ليك خير وجه فظهر ماش نفاق إجتماع,neutral,0,dialectal,1
هذا ما فعلته بالضبط صديقي,هذا ما فعلته بالضبط صديقي,علت ضبط صديق,neutral,0,standard,0
مهاجرون يفكرون في أساليب بديلة ,مهاجرون يفكرون في أساليب بديلة,مهاجر فكر أساليب ديل,neutral,0,standard,0
وقفت اليوم في سطوب مع المغرب وقالي بوليسي شعل الضو قلت ليه لا قالي علاش قلت لو العثماني قاليك حفضو على الطاقة رد عليا بوليسي قالي العثماني حمق,وقفت اليوم في سطوب مع المغرب وقالي بوليسي شعل الضو قلت ليه لا قالي علاش قلت لو العثماني قاليك حفضو على الطاقة رد عليا بوليسي قالي العثماني حمق,قفت يوم طوب مغرب قال وليس شعل الضو قلت ليه قال علاش قلت عثمان قالي حفضو طاق رد عليا وليس قال عثمان حمق,neutral,0,dialectal,1
أنا لا أكتب لأرضي أحد واتفق معك,أنا لا أكتب لأرضي أحد واتفق معك,أكتب أرض اتفق معك,neutral,0,standard,0
تعليق منار اسليمي على ما يقع في الجزائر ,تعليق منار اسليمي على ما يقع في الجزائر,عليق منار اسليم يقع جزائر,neutral,0,standard,0
انهم اهل الكاريكاتور و لك في جرائدنا خير مثال ,انهم اهل الكاريكاتور و لك في جرائدنا خير مثال,انهم اهل كاريكاتور جرائد خير مثال,neutral,0,standard,0
شحال فكرت فيها باش نعرفها و اليوم جات قدامي صدفة,شحال فكرت فيها باش نعرفها و اليوم جات قدامي صدفة,شحال كرت عرف يوم جات قدام صدف,neutral,0,dialectal,1
داكشي كلشي دوزناه وصلت للملفوف وانا نحصل,داكشي كلشي دوزناه وصلت للملفوف وانا نحصل,داكش كلش دوزنا صلت ملفوف انا حصل,neutral,0,dialectal,1
عن أبي موسى رضي الله عنه قال «خسفت الشمس فقام النبي صلى الله عليه وسلم فزعا يخشى أن تكون الساعة، فأتى المسجد فصلى بأطول قيام وركوع وسجود ما رأيته قط يفعله، وقال هذه الآيات التي يرسل الله لا تكون لموت أحد ولا لحياته، ولكن يخوف الله بها عباده،,عن أبي موسى رضي الله عنه قال خسفت الشمس فقام النبي صلى الله عليه وسلم فزعا يخشى أن تكون الساعة، فأتى المسجد فصلى بأطول قيام وركوع وسجود ما رأيته قط يفعله، وقال هذه الآيات التي يرسل الله لا تكون لموت أحد ولا لحياته، ولكن يخوف الله بها عباده،,أبي موسى رضي الل عنه قال خسفت شمس قام نبي صلى الل سلم زعا خشى كون ساعة، أتى مسجد صلى أطول قيام ركوع سجود رأيت قط فعله، قال آيات رسل الل كون موت حياته، خوف الل عباده،,neutral,0,standard,0
حظر استعمال الهاتف فوق الدراجات ,حظر استعمال الهاتف فوق الدراجات,حظر استعمال هاتف دراج,neutral,0,standard,0
احلام تتخاف من سراق الزيت كثر منك ,احلام تتخاف من سراق الزيت كثر منك,احلام تخاف راق زيت كثر منك,neutral,0,dialectal,1
على الجميع ممكن متابعه,على الجميع ممكن متابعه,جميع ممكن متابع,neutral,0,standard,0
 الكاف ينفي أخبارا حول منع رئيسه من دخول الولايات المتحدة ,الكاف ينفي أخبارا حول منع رئيسه من دخول الولايات المتحدة,كاف نفي أخبارا حول منع رئيس دخول ولاي متحد,neutral,0,standard,0
أسبوع إلى عشرة أيان ويكون بأتم الجاهزية,أسبوع إلى عشرة أيان ويكون بأتم الجاهزية,أسبوع أيان يكون أتم جاهزي,neutral,0,standard,0
هاد اليامات راه كولشي كانفهمو غلط غير صبرو عليا ,هاد اليامات راه كولشي كانفهمو غلط غير صبرو عليا,يام راه كولش كانفهمو غلط صبرو عليا,neutral,0,dialectal,1
لمن كان يرغب في التطوع لبناء هذا المسجد المرجو الاتصال على الارقام التالية و,لمن كان يرغب في التطوع لبناء هذا المسجد المرجو الاتصال على الارقام التالية و,لمن رغب تطوع بناء مسجد مرجو اتصال ارقام تالي,neutral,0,standard,0
اليوم الأول لي في العمل الجديد,اليوم الأول لي في العمل الجديد,يوم أول عمل جديد,neutral,0,standard,0
واش انت مكتشجعش المنتخب ,واش انت مكتشجعش المنتخب,مكتشجعش منتخب,neutral,0,dialectal,1
جملة تلخص واقع المغرب,جملة تلخص واقع المغرب,جمل لخص اقع مغرب,neutral,0,standard,0
وزير الشباب والرياضة ضيفا على برنامج في حلقة خاصة ,وزير الشباب والرياضة ضيفا على برنامج في حلقة خاصة,زير شباب الرياض ضيفا رنامج حلق,neutral,0,standard,0
فيسبوك يواجه أكبر عطل تقني في تاريخه ,فيسبوك يواجه أكبر عطل تقني في تاريخه,يسبو واج أكبر عطل قني اريخ,neutral,0,standard,0
لم يسبق ان سمعت بهذه اللغة,لم يسبق ان سمعت بهذه اللغة,سبق ان معت هذه لغة,neutral,0,standard,0
وهبي يسائل العثماني عن تشكيكه في الانتخابات ,وهبي يسائل العثماني عن تشكيكه في الانتخابات,هبي سائل عثمان شكيك انتخاب,neutral,0,standard,0
الوداد وكفى,الوداد وكفى,وداد كفى,neutral,0,standard,0
الصبر ليس القدرة على الانتظار بل ماذا تفعل حين تنتظر,الصبر ليس القدرة على الانتظار بل ماذا تفعل حين تنتظر,صبر قدر انتظار فعل نتظر,neutral,0,standard,0
 إذا أردت أن تعيش في أنس وسعادة وراحة زد رصيد علاقاتك بطيب القول والحرص على إماطة الأذى عن مشاعر الناس وقولوا للناس حسنا فإنها مفتاح من مفاتيح القلوب,إذا أردت أن تعيش في أنس وسعادة وراحة زد رصيد علاقاتك بطيب القول والحرص على إماطة الأذى عن مشاعر الناس وقولوا للناس حسنا فإنها مفتاح من مفاتيح القلوب,أردت عيش أنس سعاد راح زد رصيد علاقات طيب قول الحرص إماط أذى مشاعر ناس قولوا ناس حسنا إنها مفتاح مفاتيح قلوب,neutral,0,standard,0
حافظ سوارك,حافظ سوارك,حافظ وار,neutral,0,dialectal,1
نساء السلطة قايدات يسيرن الأحياء بقفاز حرير ويد من حديد ,نساء السلطة قايدات يسيرن الأحياء بقفاز حرير ويد من حديد,ساء سلط قايد سيرن أحياء قفاز حرير ويد حديد,neutral,0,standard,0
حناجر المتعاقدين وأساتذة الزنزانة تصدح بمطالب الإدماج والترقية ,حناجر المتعاقدين وأساتذة الزنزانة تصدح بمطالب الإدماج والترقية,حناجر متعاقد أساتذ زنزان صدح مطالب إدماج الترقي,neutral,0,standard,0
هل يوجد آمل في وطننا آم يجب علينا تركه لحمادي وزبانيته,هل يوجد آمل في وطننا آم يجب علينا تركه لحمادي وزبانيته,وجد آمل طننا آم يجب علي ركه حماد زبانيت,neutral,0,standard,0
نت درت علاش تاخد العقوبة و انا مالي ,نت درت علاش تاخد العقوبة و انا مالي,نت درت علاش اخد عقوب مال,neutral,0,dialectal,1
 أوروس الفارهة تخطف الأنظار بمعرض جنيف ,أوروس الفارهة تخطف الأنظار بمعرض جنيف,أوروس فاره خطف أنظار معرض جنيف,neutral,0,standard,0
واش بصح شافو الملائكة تحلق في سماء مكناس لا يجوز لأحد – بعد الأنبياء أن يدعي رؤية الملائكة ؛ فهم أجسام نورانية لم يجعل الله تعالى في مقدور البشر رؤيتهم إلا إن تشكلوا فتاوى اللجنة الدائمة ،,واش بصح شافو الملائكة تحلق في سماء مكناس لا يجوز لأحد بعد الأنبياء أن يدعي رؤية الملائكة ؛ فهم أجسام نورانية لم يجعل الله تعالى في مقدور البشر رؤيتهم إلا إن تشكلوا فتاوى اللجنة الدائمة ،,بصح شافو ملائك حلق ماء مكناس جوز أحد أنبياء دعي رؤي ملائك ؛ فهم أجسام وراني جعل الل عالى مقدور بشر رؤيت شكلوا تاوى لجن دائم ،,neutral,0,standard,0
كلمة اجنبي تطلق على اي شيء دخيل و لا وطني يعني اي شيء لا ينتمي لوطني المغرب فهو اجنبي اما الهوية الاسلامية فهي توحد الاوطان بغض النظر عن ثقافتهم و ووو ان كان لك تفسير آخر فمرحبا به,كلمة اجنبي تطلق على اي شيء دخيل و لا وطني يعني اي شيء لا ينتمي لوطني المغرب فهو اجنبي اما الهوية الاسلامية فهي توحد الاوطان بغض النظر عن ثقافتهم و ووو ان كان لك تفسير آخر فمرحبا به,كلم اجنب طلق اي شيء دخيل طني عني اي شيء نتم وطن مغرب فهو اجنب اما هوي اسلامي فهي وحد اوطان بغض نظر ثقافت وو ان فسير آخر مرحبا,neutral,0,standard,0
نعم ينحني ظهر الام ليستقيم عمود الأبناء و لا شئ يعوضها ذلك,نعم ينحني ظهر الام ليستقيم عمود الأبناء و لا شئ يعوضها ذلك,نحن ظهر الام يستقيم عمود أبناء شئ عوض,neutral,0,standard,0
لا تحدثني عن حبك ، دعني أراه,لا تحدثني عن حبك ، دعني أراه,حدثن حبك ، دعن أرا,neutral,0,standard,0
ما بغيت نخلعك و لكن من علامات الساعة ان يكون العام كالشهر,ما بغيت نخلعك و لكن من علامات الساعة ان يكون العام كالشهر,غيت خلع علام ساع ان كون عام شهر,neutral,0,standard,0
تماما النصيحة لها مفعول وتبقى اختيار الطرف الاخر يعمل بها و لا ما يعمل شغلو هداك,تماما النصيحة لها مفعول وتبقى اختيار الطرف الاخر يعمل بها و لا ما يعمل شغلو هداك,ماما نصيح مفعول تبقى اختيار طرف اخر عمل عمل شغلو هدا,neutral,0,dialectal,1
 شرح صعب باش نوصل ليك المعنى الحقيقي,شرح صعب باش نوصل ليك المعنى الحقيقي,شرح صعب وصل ليك معنى حقيق,neutral,0,dialectal,1
اقدم جامعه فى العالم جامعه القرويين فى مدينه فاس ,اقدم جامعه فى العالم جامعه القرويين فى مدينه فاس,اقدم جامع فى عالم جامع قروي فى مدين فاس,neutral,0,standard,0
تعلمين انه اخطر فخذي حذرك,تعلمين انه اخطر فخذي حذرك,علم انه اخطر خذي حذر,neutral,0,standard,0
اخجل من أن يسمعك الله وأنت تقول لنفسك كم أنا وحيد,اخجل من أن يسمعك الله وأنت تقول لنفسك كم أنا وحيد,اخجل سمع الل أنت قول نفس حيد,neutral,0,standard,0
جميعهم لا قيمة لهم عندي ان لم يكن الحب هو الرابط ,جميعهم لا قيمة لهم عندي ان لم يكن الحب هو الرابط,جميع قيم ان يكن الحب رابط,neutral,0,standard,0
موحالش واش باقي تدوز من حدايا ,موحالش واش باقي تدوز من حدايا,موحالش اقي دوز حدايا,neutral,0,dialectal,1
تفسير القران عندو ماليه المهم الكلمة في شرحها العام تعني التراب المبلل,تفسير القران عندو ماليه المهم الكلمة في شرحها العام تعني التراب المبلل,فسير قران عندو مالي مهم كلم شرح عام عني تراب مبلل,neutral,0,dialectal,1
لا شيء يثري جمال عقلك ويعزز من ثقتك بنفسك ويصقل شخصيتك ويزيدك جاذبية مثلما تفعله الكتب عودي نفسك على القراءة لئلا تحتكري قيمتك بمظهرك فقط,لا شيء يثري جمال عقلك ويعزز من ثقتك بنفسك ويصقل شخصيتك ويزيدك جاذبية مثلما تفعله الكتب عودي نفسك على القراءة لئلا تحتكري قيمتك بمظهرك فقط,شيء ثري جمال عقل يعزز ثقت نفس يصقل شخصيت يزيد جاذبي مثلما فعل كتب عود فسك قراء ئلا حتكر قيمت مظهر فقط,neutral,0,standard,0
لا اله الا الله محمد رسول الله,لا اله الا الله محمد رسول الله,اله الا الل محمد رسول الل,neutral,0,standard,0
كنت ساكت ماكنت اعمى ي صاحبي,كنت ساكت ماكنت اعمى ي صاحبي,اكت ماكنت اعمى صاحب,neutral,0,standard,0
المناخ وندرة المياه والمنافسة الدولية تحديات تواجه الفلاحة المغربية عبر,المناخ وندرة المياه والمنافسة الدولية تحديات تواجه الفلاحة المغربية عبر,مناخ ندر ميا المنافس دولي حدي واج فلاح مغربي عبر,neutral,0,standard,0
ماذا يفعل الفقير بوردة فواحة ,ماذا يفعل الفقير بوردة فواحة,فعل فقير ورد واح,neutral,0,standard,0
خاصك تديري خطط لانه شهر لا يتكرر الا مرة في العام,خاصك تديري خطط لانه شهر لا يتكرر الا مرة في العام,خاص دير خطط انه شهر تكرر الا مرة عام,neutral,0,dialectal,1
غير ملصق و صافي,غير ملصق و صافي,ملصق صاف,neutral,0,dialectal,1
سير شوف محطات افريقيا كلها عامرين و حتى المطاعم ديالهم ديما,سير شوف محطات افريقيا كلها عامرين و حتى المطاعم ديالهم ديما,سير شوف محط افريقيا كلها عامر مطاعم ديال ديما,neutral,0,dialectal,1
فعلا الكل يطالب بتغيير حالنا و التحسن في شتى المجالات اقول لن يتغير حالنا ما دمنا لم نستقل بتفكيرنا و عقليتنا و معاملاتنا و و و استقلالنا بعقليتنا و منهجنا سبيل خلاصنا,فعلا الكل يطالب بتغيير حالنا و التحسن في شتى المجالات اقول لن يتغير حالنا ما دمنا لم نستقل بتفكيرنا و عقليتنا و معاملاتنا و و و استقلالنا بعقليتنا و منهجنا سبيل خلاصنا,علا الكل طالب تغيير حال تحسن شتى مجال اقول تغير حال دمنا ستقل تفكير عقليت معاملات استقلال عقليت منهج بيل خلاص,neutral,0,standard,0
القصة الكاملة لوفاة عامل نظافة,القصة الكاملة لوفاة عامل نظافة,قصة كامل وفا عامل ظاف,neutral,0,standard,0
وصلت ل الف متابع أخيرا,وصلت ل الف متابع أخيرا,صلت الف متابع أخيرا,neutral,0,standard,0
الهضرة ماتشري خضرة حتى نجيو للتطبيق,الهضرة ماتشري خضرة حتى نجيو للتطبيق,هضر ماتشر خضر جيو تطبيق,neutral,0,dialectal,1
علاش الاسلام كاين غير فالمغرب,علاش الاسلام كاين غير فالمغرب,علاش اسلام المغرب,neutral,0,dialectal,1
اشنو بغاو زعمة من الحكم ايدير مفهمتهمش,اشنو بغاو زعمة من الحكم ايدير مفهمتهمش,اشنو غاو زعم حكم ايدير مفهمتهمش,neutral,0,dialectal,1
الأناجيل حرفت ليس لديها إسناد منذ زمن وتغيرت بترجمتها,الأناجيل حرفت ليس لديها إسناد منذ زمن وتغيرت بترجمتها,أناجيل حرفت ديها إسناد زمن تغيرت ترجمت,neutral,0,standard,0
وقع رجل في جزيرة كلها نساء,وقع رجل في جزيرة كلها نساء,وقع رجل جزير كلها ساء,neutral,0,standard,0
و الله هذا اللي من المفروض يعملوه يرجعو الوراق لاصحابها باش ما يضيعوهم ماديا,و الله هذا اللي من المفروض يعملوه يرجعو الوراق لاصحابها باش ما يضيعوهم ماديا,الل الل مفروض عملو رجعو وراق اصحاب ضيعو ماديا,neutral,0,dialectal,1
ازور دار العجزة,ازور دار العجزة,ازور دار عجز,neutral,0,standard,0
روح يا ارق روح,روح يا ارق روح,روح ارق روح,neutral,0,standard,0
مشروعنا هو توحيد الكرة الارضية,مشروعنا هو توحيد الكرة الارضية,مشروع وحيد كرة ارضي,neutral,0,standard,0
الناجي يدقق في تزويج القاصرات بالدول المغاربية ,الناجي يدقق في تزويج القاصرات بالدول المغاربية,ناج دقق زويج قاصر دول مغاربي,neutral,0,standard,0
 موجودات غير هو نتا ف الرباط مانظمنش ليك تلقا فيها ,موجودات غير هو نتا ف الرباط مانظمنش ليك تلقا فيها,موجود رباط مانظمنش ليك لقا,neutral,0,dialectal,1
